# Renewables.ninja Wind power (Point API) - 43.604, 1.444 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in Europe/Paris, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "Europe/Paris", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "43.6044622", "lon": "1.4442469", "date_from": "1986-01-01", "date_to": "1986-12-31", "dataset": "merra2", "capacity": "1", "height": "80", "turbine": "Vestas V90 2000", "raw": true}}
time,local_time,electricity,wind_speed
1986-01-01 00:00,1986-01-01 01:00,0.351,7.075
1986-01-01 01:00,1986-01-01 02:00,0.310,6.751
1986-01-01 02:00,1986-01-01 03:00,0.311,6.766
1986-01-01 03:00,1986-01-01 04:00,0.295,6.643
1986-01-01 04:00,1986-01-01 05:00,0.227,6.053
1986-01-01 05:00,1986-01-01 06:00,0.203,5.830
1986-01-01 06:00,1986-01-01 07:00,0.193,5.729
1986-01-01 07:00,1986-01-01 08:00,0.187,5.669
1986-01-01 08:00,1986-01-01 09:00,0.180,5.597
1986-01-01 09:00,1986-01-01 10:00,0.112,4.810
1986-01-01 10:00,1986-01-01 11:00,0.055,3.925
1986-01-01 11:00,1986-01-01 12:00,0.042,3.668
1986-01-01 12:00,1986-01-01 13:00,0.049,3.818
1986-01-01 13:00,1986-01-01 14:00,0.076,4.301
1986-01-01 14:00,1986-01-01 15:00,0.152,5.292
1986-01-01 15:00,1986-01-01 16:00,0.223,6.012
1986-01-01 16:00,1986-01-01 17:00,0.264,6.384
1986-01-01 17:00,1986-01-01 18:00,0.291,6.604
1986-01-01 18:00,1986-01-01 19:00,0.335,6.952
1986-01-01 19:00,1986-01-01 20:00,0.361,7.146
1986-01-01 20:00,1986-01-01 21:00,0.464,7.903
1986-01-01 21:00,1986-01-01 22:00,0.649,9.313
1986-01-01 22:00,1986-01-01 23:00,0.777,10.508
1986-01-01 23:00,1986-01-02 00:00,0.757,10.289
1986-01-02 00:00,1986-01-02 01:00,0.467,7.938
1986-01-02 01:00,1986-01-02 02:00,0.232,6.096
1986-01-02 02:00,1986-01-02 03:00,0.119,4.909
1986-01-02 03:00,1986-01-02 04:00,0.061,4.027
1986-01-02 04:00,1986-01-02 05:00,0.057,3.955
1986-01-02 05:00,1986-01-02 06:00,0.102,4.680
1986-01-02 06:00,1986-01-02 07:00,0.188,5.683
1986-01-02 07:00,1986-01-02 08:00,0.272,6.449
1986-01-02 08:00,1986-01-02 09:00,0.332,6.930
1986-01-02 09:00,1986-01-02 10:00,0.376,7.265
