# Renewables.ninja Weather (Point API) - 44.841, -0.580 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Paris, t2m in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Paris", "t2m": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "44.841225", "lon": "-0.5800364", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,t2m
2019-01-01 00:00,2019-01-01 01:00,4.609
2019-01-01 01:00,2019-01-01 02:00,4.572
2019-01-01 02:00,2019-01-01 03:00,4.602
2019-01-01 03:00,2019-01-01 04:00,4.569
2019-01-01 04:00,2019-01-01 05:00,4.510
2019-01-01 05:00,2019-01-01 06:00,4.546
2019-01-01 06:00,2019-01-01 07:00,4.451
2019-01-01 07:00,2019-01-01 08:00,4.411
2019-01-01 08:00,2019-01-01 09:00,5.050
2019-01-01 09:00,2019-01-01 10:00,5.719
2019-01-01 10:00,2019-01-01 11:00,6.415
2019-01-01 11:00,2019-01-01 12:00,7.590
2019-01-01 12:00,2019-01-01 13:00,8.753
2019-01-01 13:00,2019-01-01 14:00,9.303
2019-01-01 14:00,2019-01-01 15:00,9.176
2019-01-01 15:00,2019-01-01 16:00,7.749
2019-01-01 16:00,2019-01-01 17:00,5.097
2019-01-01 17:00,2019-01-01 18:00,4.854
2019-01-01 18:00,2019-01-01 19:00,5.299
2019-01-01 19:00,2019-01-01 20:00,5.491
2019-01-01 20:00,2019-01-01 21:00,5.463
2019-01-01 21:00,2019-01-01 22:00,5.167
2019-01-01 22:00,2019-01-01 23:00,4.740
2019-01-01 23:00,2019-01-02 00:00,4.252
2019-01-02 00:00,2019-01-02 01:00,3.911
2019-01-02 01:00,2019-01-02 02:00,3.753
2019-01-02 02:00,2019-01-02 03:00,3.828
2019-01-02 03:00,2019-01-02 04:00,3.884
2019-01-02 04:00,2019-01-02 05:00,3.961
2019-01-02 05:00,2019-01-02 06:00,3.996
2019-01-02 06:00,2019-01-02 07:00,4.083
2019-01-02 07:00,2019-01-02 08:00,4.404
2019-01-02 08:00,2019-01-02 09:00,5.422
2019-01-02 09:00,2019-01-02 10:00,6.708
2019-01-02 10:00,2019-01-02 11:00,8.413
2019-01-02 11:00,2019-01-02 12:00,9.352
2019-01-02 12:00,2019-01-02 13:00,9.594
2019-01-02 13:00,2019-01-02 14:00,9.439
2019-01-02 14:00,2019-01-02 15:00,8.889
