# Renewables.ninja Weather (Point API) - 43.604, 1.444 - Version: 1.0 - License: https://science.nasa.gov/earth-science/earth-science-data/data-information-policy - Reference: https://www.renewables.ninja/
# Units: time in UTC, local_time in Europe/Paris, t2m in ºC
# {"units": {"time": "UTC", "local_time": "Europe/Paris", "t2m": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "43.6044622", "lon": "1.4442469", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "var_t2m": true, "var_prectotland": false, "var_precsnoland": false, "var_snomas": false, "var_rhoa": false, "var_swgdn": false, "var_swtdn": false, "var_cldtot": false}}
time,local_time,t2m
2019-01-01 00:00,2019-01-01 01:00,2.199
2019-01-01 01:00,2019-01-01 02:00,1.900
2019-01-01 02:00,2019-01-01 03:00,1.530
2019-01-01 03:00,2019-01-01 04:00,1.104
2019-01-01 04:00,2019-01-01 05:00,1.197
2019-01-01 05:00,2019-01-01 06:00,1.684
2019-01-01 06:00,2019-01-01 07:00,1.684
2019-01-01 07:00,2019-01-01 08:00,1.720
2019-01-01 08:00,2019-01-01 09:00,2.058
2019-01-01 09:00,2019-01-01 10:00,2.462
2019-01-01 10:00,2019-01-01 11:00,2.920
2019-01-01 11:00,2019-01-01 12:00,3.485
2019-01-01 12:00,2019-01-01 13:00,3.952
2019-01-01 13:00,2019-01-01 14:00,4.209
2019-01-01 14:00,2019-01-01 15:00,4.232
2019-01-01 15:00,2019-01-01 16:00,3.817
2019-01-01 16:00,2019-01-01 17:00,2.836
2019-01-01 17:00,2019-01-01 18:00,2.759
2019-01-01 18:00,2019-01-01 19:00,2.802
2019-01-01 19:00,2019-01-01 20:00,2.720
2019-01-01 20:00,2019-01-01 21:00,2.633
2019-01-01 21:00,2019-01-01 22:00,2.589
2019-01-01 22:00,2019-01-01 23:00,2.542
2019-01-01 23:00,2019-01-02 00:00,2.333
2019-01-02 00:00,2019-01-02 01:00,2.258
2019-01-02 01:00,2019-01-02 02:00,2.238
2019-01-02 02:00,2019-01-02 03:00,2.167
2019-01-02 03:00,2019-01-02 04:00,2.168
2019-01-02 04:00,2019-01-02 05:00,2.062
2019-01-02 05:00,2019-01-02 06:00,1.955
2019-01-02 06:00,2019-01-02 07:00,1.761
2019-01-02 07:00,2019-01-02 08:00,1.633
2019-01-02 08:00,2019-01-02 09:00,2.325
2019-01-02 09:00,2019-01-02 10:00,3.174
2019-01-02 10:00,2019-01-02 11:00,4.427
2019-01-02 11:00,2019-01-02 12:00,5.789
2019-01-02 12:00,2019-01-02 13:00,7.057
2019-01-02 13:00,2019-01-02 14:00,7.698
2019-01-02 14:00,2019-01-02 15:00,7.564
2019-01-02 15:00,2019-01-02 16:00,5.973
2019-01-02 16:00,2019-01-02 17:00,3.076
2019-01-02 17:00,2019-01-02 18:00,1.786
2019-01-02 18:00,2019-01-02 19:00,0.755
2019-01-02 19:00,2019-01-02 20:00,-0.267
2019-01-02 20:00,2019-01-02 21:00,-1.154
